traj_idx,frame,x,y
1,1,1.0151,6.6936
1,2,0.82144,7.1973
2,7,0.92987,6.6879
2,8,0.83266,7.3156
3,5,1.6057,13.646
3,6,1.4495,13.602
4,9,0.84779,8.0727
4,10,0.95342,8.3934
5,157,1.1429,6.626
5,158,0.86855,6.5129
5,159,1.0877,6.6946
6,35,1.1253,13.705
6,36,1.0013,13.757
7,49,0.97897,13.86
7,50,1.099,13.859
7,51,0.94678,13.8
7,52,1.0564,13.814
7,53,0.96915,13.744
7,54,0.94901,13.804
8,51,1.0412,10.325
8,52,0.90077,10.149
9,146,1.1946,3.3074
9,147,1.0963,3.3149
9,148,1.2548,3.2478
10,268,1.2548,3.3398
10,269,1.2013,3.2294
10,270,1.4259,3.3055
10,271,1.4038,3.2933
10,272,1.4656,3.2902
10,273,1.2837,3.2801
10,274,1.3816,3.3165
10,275,1.2781,3.2514
11,369,1.1609,3.2862
11,370,1.133,3.189
11,371,1.2253,3.2649
11,372,1.1346,2.6609
11,373,1.1733,3.1774
12,56,1.7592,4.7758
12,57,1.8054,4.7668
12,58,1.8456,4.959
12,59,1.7711,4.6864
12,60,1.7839,4.7973
13,92,1.8402,4.6853
13,93,1.6803,4.6537
13,94,1.8207,4.6495
13,95,1.7128,4.7943
13,96,1.7443,4.7001
14,100,1.7701,4.653
14,101,1.828,4.4896
14,102,1.827,4.6853
15,76,1.1011,10.463
15,77,1.1546,10.299
15,78,1.0912,10.205
16,79,1.0096,13.809
16,80,0.89629,13.806
17,83,1.011,9.0587
17,84,0.91419,8.9571
17,85,0.9931,8.9356
18,88,0.95945,10.12
18,89,0.96566,10.105
18,90,0.91848,10.169
18,91,1.0528,10.239
19,91,0.98454,13.742
19,92,0.89096,13.818
19,93,0.95658,13.85
19,94,1.0052,13.81
19,95,0.89126,13.803
19,96,1.0212,13.764
20,95,0.98615,8.9821
20,96,1.0649,8.9763
20,97,1.1814,9.0653
21,96,0.92599,5.2184
21,97,1.0541,5.0505
22,100,1.1136,10.322
22,101,1.0383,10.056
23,116,1.6417,4.536
23,117,1.9164,4.7684
23,118,1.9387,4.5479
23,119,1.8044,4.5998
24,133,1.0832,1.4913
24,134,0.90227,1.2688
25,148,0.95013,10.25
25,149,1.0587,10.176
26,148,1.1821,5.4028
26,149,0.84535,5.4343
27,159,0.82213,13.69
27,160,0.92661,13.789
27,161,0.98481,13.884
27,162,0.92421,13.861
28,162,1.8246,1.896
28,163,1.9699,1.8611
28,164,2.0264,1.8349
29,171,1.9154,9.7646
29,172,1.955,9.9221
29,173,2.0043,9.7566
29,174,2.0203,9.6986
29,175,1.9395,9.7985
30,167,1.807,1.9551
30,168,1.9242,2.1455
30,169,1.7721,1.8578
31,168,0.92947,10.081
31,169,0.94547,10.248
31,170,0.95423,10.08
32,172,2.0656,14.457
32,173,1.9741,14.391
33,173,0.96094,13.811
33,174,1.5035,13.751
33,175,1.5528,13.689
33,176,0.92947,13.785
33,177,0.93474,13.885
34,183,2.0502,9.7704
34,184,2.0468,9.844
34,185,1.8644,9.7565
34,186,2.0409,9.7111
34,187,2,9.824
35,184,1.7747,4.5898
35,185,1.7785,4.5805
35,186,1.3373,4.1936
36,187,0.99942,13.836
36,188,0.95039,13.808
36,189,0.98504,13.913
36,190,1.0171,13.815
36,191,1.0501,13.802
36,192,1.4498,13.609
36,193,1.0154,13.749
36,194,0.94173,13.754
36,195,1.075,13.717
36,196,0.88195,13.781
36,197,1.0072,13.791
36,198,0.88906,13.775
36,199,0.96032,13.781
37,188,0.87519,10.304
37,189,0.93042,10.215
37,190,1.0157,10.133
37,191,0.91025,10.228
38,207,1.0383,10.291
38,208,1.1179,10.45
39,201,0.97683,13.824
39,202,0.92293,13.787
39,203,0.90668,13.841
39,204,1.1518,13.768
40,209,1.4072,1.8634
40,210,1.4003,1.594
40,211,1.9878,1.7525
41,211,1.0537,10.408
41,212,1.1683,10.484
42,238,1.0167,10.166
42,239,1.1301,10.567
43,241,1.0099,10.322
43,242,1.0081,10.243
43,243,1.0607,10.392
44,242,0.82393,6.3976
44,243,0.81639,6.5038
45,252,1.0339,10.537
45,253,0.91782,10.439
45,254,1.1513,10.653
46,280,1.1079,10.669
46,281,0.93222,10.596
47,262,1.3692,4.2867
47,263,1.8241,4.6598
47,264,1.341,4.2665
48,267,1.3762,4.254
48,268,1.8417,4.6381
48,269,1.3376,4.2629
49,277,1.2827,4.1502
49,278,1.136,3.948
49,279,1.3939,4.2381
50,280,1.4362,13.647
50,281,1.6907,13.774
51,284,1.9427,7.446
51,285,1.9574,7.2029
