traj_idx,frame,x,y
1,335,1.4303,1.62
1,336,1.2245,1.6604
1,337,1.4569,1.5938
2,377,1.3641,1.698
2,378,1.5031,1.8074
2,379,1.3301,1.6972
2,380,1.5284,1.7148
3,415,1.3684,1.6808
3,416,1.4931,1.605
3,417,1.3581,1.741
3,418,1.5629,1.6676
3,419,1.4087,1.6977
4,425,1.3884,4.4659
4,426,0.85202,4.5584
5,639,1.8611,4.7425
5,640,1.694,4.6043
5,641,1.7857,4.6043
6,941,2.0647,8.544
6,942,1.958,8.6151
6,943,2.1914,8.4774
7,964,2.1245,8.6411
7,965,2.1472,8.8096
7,966,2.1994,8.614
7,967,2.1118,8.5208
8,981,2.2037,8.4633
8,982,2.1009,8.5722
8,983,1.9445,8.6851
9,1011,2.1278,8.6394
9,1012,2.0474,8.7039
9,1013,2.1018,8.5206
10,1023,1.4467,10.082
10,1024,1.3376,10.377
10,1025,1.4623,10.18
11,1027,2.1721,8.6165
11,1028,1.9253,8.7227
11,1029,2.0974,8.7662
12,1075,0.88037,0.8699
12,1076,0.82757,1.0595
13,1105,1.7701,8.7003
13,1106,1.9687,8.7296
14,1196,1.2507,9.6632
14,1197,1.0991,9.801
15,1217,2.0144,8.6454
15,1218,2.1363,8.5888
15,1219,1.9076,8.5225
16,1222,1.2644,3.3374
16,1223,1.2822,3.2074
16,1224,1.5728,3.0689
17,1231,2.0649,4.3591
17,1232,1.9639,4.3548
17,1233,1.7321,4.116
17,1234,1.5654,3.9073
17,1235,1.7411,3.8922
17,1236,1.6993,3.9719
17,1237,1.5887,4.0736
18,1242,1.4013,4.1997
18,1243,1.6405,4.2005
19,1245,1.7944,3.6739
19,1246,1.5763,3.6575
19,1247,1.3314,3.3705
20,1330,2.0924,8.5073
20,1331,1.9302,8.6743
21,1399,2.2067,2.994
21,1400,2.1242,2.8466
22,1406,1.2778,3.4489
22,1407,0.99343,3.3414
23,1419,1.4853,2.6231
23,1420,1.4076,2.7382
23,1421,1.6447,2.7601
23,1422,1.6715,2.4968
24,1426,2.1901,2.8265
24,1427,2.0566,2.86
24,1428,1.9919,3.0879
25,1475,1.8671,5.4891
25,1476,1.9092,5.1729
26,1482,1.2597,1.4535
26,1483,0.99895,1.4714
27,1498,2.067,5.2658
27,1499,1.8608,5.2413
28,1668,2.2391,4.3046
28,1669,2.1214,4.4642
28,1670,2.1406,4.2642
29,1672,1.4317,2.7396
29,1673,1.3126,2.5812
30,1728,1.9166,8.6346
30,1729,2.1416,8.5807
31,1746,2.1267,8.4487
31,1747,2.2252,8.5909
32,1749,2.2293,4.3654
32,1750,2.0575,4.3493
33,1771,1.894,8.8265
33,1772,1.8671,8.5909
34,1903,1.7366,10.737
34,1904,1.6013,10.851
35,1957,2.218,4.4002
35,1958,1.9627,4.379
35,1959,2.1102,4.2305
36,2075,0.95994,7.3956
36,2076,1.0084,7.5596
36,2077,1.1386,7.623
37,2140,1.0264,1.7634
37,2141,1.1251,1.9447
37,2142,1.0139,1.8151
38,2184,1.6507,4.0349
38,2185,1.663,4.2943
38,2186,1.6198,4.1205
39,2193,1.7513,4.1089
39,2194,1.5691,4.0533
40,2281,0.82012,8.4927
40,2282,0.80427,8.6795
41,2289,1.106,3.5324
41,2290,0.87679,3.3521
42,2293,0.96298,3.3469
42,2294,1.0545,3.7537
42,2295,1.2102,3.7282
43,2307,1.0893,1.7243
43,2308,1.0575,1.9253
44,2426,0.93946,7.4634
44,2427,1.0529,7.2701
44,2428,1.0544,7.184
44,2429,0.91621,7.3728
44,2430,0.87621,7.6662
45,2483,2.0859,5.3588
45,2484,2.2314,5.212
45,2485,2.099,5.3553
46,2880,1.0309,9.992
46,2881,0.94901,10.168
47,2896,0.96754,9.9424
47,2897,1.0094,10.172
48,2903,1.1135,10.002
48,2904,0.96339,10.062
48,2905,1.0899,9.9559
48,2906,1.128,10.257
48,2907,0.96512,10.063
49,2995,1.4918,7.0351
49,2996,1.5387,6.8354
50,3013,1.3905,9.2023
50,3014,0.94088,9.2431
51,3056,1.769,8.141
51,3057,1.698,8.2623
51,3058,1.5937,8.1111
52,3147,1.9251,9.232
52,3148,1.9093,9.3534
52,3149,1.8872,9.1853
52,3150,1.9013,9.2528
52,3151,1.6958,9.2687
52,3152,1.8527,9.2981
53,3160,1.975,9.2484
53,3161,1.8087,9.2817
54,3315,2.2345,5.0977
54,3316,2.1964,4.8114
55,3387,1.8303,3.6997
55,3388,1.6802,3.9074
56,3448,1.4731,2.8687
56,3449,1.58,2.7293
57,3493,1.4591,1.7462
57,3494,1.4689,1.9794
57,3495,1.3557,1.7353
58,3535,1.2139,1.8853
58,3536,1.3772,1.6968
58,3537,1.4114,1.7178
58,3538,1.3132,1.7875
58,3539,1.3867,1.7519
58,3540,1.6274,1.6764
58,3541,1.3961,1.669
58,3542,1.5273,1.7775
59,3547,1.4631,1.6734
59,3548,1.2151,1.6681
59,3549,1.0039,1.6366
60,3550,2.1137,0.9755
60,3551,2.184,0.80516
61,3551,1.4342,1.7154
61,3552,0.98032,1.6104
62,3564,1.4151,1.5762
62,3565,0.98205,0.99618
62,3566,0.80355,1.0794
63,3566,1.0339,7.1615
63,3567,1.0359,7.0092
63,3568,1.0067,6.852
63,3569,1.0997,6.9412
63,3570,1.0626,6.7896
63,3571,0.98876,7.0056
64,3579,1.3044,1.6619
64,3580,1.0989,1.5605
65,3591,1.3176,1.6871
65,3592,1.3926,1.9144
65,3593,1.3872,1.7187
66,3637,0.99923,1.3292
66,3638,0.85367,1.1129
67,3640,2.1915,8.5635
67,3641,2.0785,8.6913
68,3642,0.83007,1.1903
68,3643,0.85117,0.84144
68,3644,1.0753,0.93735
69,3668,0.9494,1.7919
69,3669,0.9017,1.7001
69,3670,0.97342,1.5922
69,3671,1.215,1.5154
69,3672,1.3782,1.4715
70,3674,1.429,1.5823
70,3675,1.4602,1.8525
70,3676,1.5243,1.5773
71,3684,1.6547,1.8643
71,3685,1.6138,1.7181
71,3686,1.5464,1.8804
71,3687,1.3459,1.7258
72,3689,1.5381,1.4561
72,3690,1.6149,1.4853
72,3691,1.5643,1.3528
72,3692,1.3703,1.4393
72,3693,1.365,1.8137
72,3694,1.3121,1.921
72,3695,1.4267,1.681
73,3705,1.7862,1.6056
73,3706,1.8555,1.5479
73,3707,1.7653,1.3579
73,3708,1.7618,1.3573
73,3709,1.6327,1.3743
73,3710,1.6643,1.2111
73,3711,1.7311,1.4034
73,3712,1.9703,1.2144
73,3713,1.8242,1.2665
73,3714,1.5717,1.1639
74,3719,1.893,1.4108
74,3720,1.7203,1.376
74,3721,1.742,1.0672
74,3722,1.7167,0.84193
74,3723,1.758,1.0474
74,3724,1.8625,1.0302
74,3725,1.7802,1.0002
74,3726,1.7483,1.1491
74,3727,1.7113,1.1813
74,3728,1.7902,1.2816
74,3729,1.5373,1.2623
74,3730,1.4413,1.0139
74,3731,1.6687,0.91217
74,3732,1.7196,0.995
74,3733,1.4417,0.96686
74,3734,1.7117,1.1695
75,3781,1.2526,11.793
75,3782,1.1061,11.708
76,3799,1.4946,7.1721
76,3800,1.3009,6.9208
77,3804,1.3276,2.758
77,3805,1.1789,2.5531
78,3807,1.2774,2.7856
78,3808,1.1201,2.5809
79,3993,1.7742,8.9512
79,3994,1.8606,8.3869
80,3999,2.053,8.2078
80,4000,2.1519,8.4773
81,4005,2.0598,8.4673
81,4006,1.9491,8.6539
82,4243,1.8757,1.5676
82,4244,1.4833,1.6757
83,4261,1.8828,4.0127
83,4262,1.7554,3.8123
83,4263,1.4881,3.6645
84,4277,1.6199,3.1402
84,4278,1.8064,3.2514
85,4365,1.8916,1.1288
85,4366,2.0398,0.98085
85,4367,2.0691,0.94501
85,4368,1.9148,1.167
86,4410,1.8492,5.1818
86,4411,2.001,5.1816
86,4412,1.8425,5.1941
87,4414,1.9831,5.2738
87,4415,1.8131,5.1639
88,4444,1.8726,5.0811
88,4445,1.6859,5.1437
88,4446,1.9084,5.0867
89,4455,1.5376,1.6338
89,4456,1.4701,1.8172
89,4457,1.488,1.5593
90,4486,1.5469,1.6065
90,4487,1.5276,1.5006
90,4488,1.6374,1.5721
90,4489,1.4028,1.6142
91,4552,0.90774,10.62
91,4553,0.82037,10.476
92,4569,2.207,8.2583
92,4570,2.2257,8.5829
93,4610,2.0229,6.8975
93,4611,2.0613,6.7017
93,4612,2.0297,6.8454
94,4614,1.9288,6.89
94,4615,1.8764,7.1224
94,4616,1.6858,6.7869
95,4627,1.4774,6.754
95,4628,1.9085,6.5834
95,4629,1.9819,6.5241
96,4650,2.0444,4.9208
96,4651,2.2016,4.8313
97,4655,2.1329,4.7438
97,4656,2.0223,4.9052
97,4657,2.0529,4.7928
98,4691,2.1165,4.5141
98,4692,1.9439,4.7268
99,4693,1.0361,1.961
99,4694,1.0857,1.9729
99,4695,1.2548,2.1889
100,4736,0.93169,4.8536
100,4737,1.3323,4.7005
101,4752,1.025,1.5318
101,4753,1.1057,2.0669
102,4777,1.2204,2.0988
102,4778,1.5003,2.6901
102,4779,1.2338,2.1492
